"time","temp","temp_dew"
2017-08-05 11:00:00,20.5,18.2
2017-08-05 12:00:00,21.5,18.5
2017-08-05 13:00:00,16.5,15.7
2017-08-05 14:00:00,16.3,15.8
2017-08-05 15:00:00,15.9,15.8
2017-08-05 16:00:00,15.5,15.2
2017-08-05 17:00:00,15.6,15.1
2017-08-05 18:00:00,16.5,15.9
2017-08-05 19:00:00,15.9,15.6
2017-08-05 20:00:00,15.4,15.3
2017-08-05 21:00:00,14.9,14.8
2017-08-05 22:00:00,14.1,13.8
2017-08-05 23:00:00,14.3,14.3
