X,Y,AREA,PERIMETER,REGIO_S_,REGIO_S_ID,RES_NO_IND,RES_DE_IND,RES_CO_REG,RES_NM_REG,RES_CO_REF,RES_CO_VER
-65.4999950961982,54.9999962053612,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-65.2500112833386,55.0000011057162,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-65.0000188947559,55.0000004967001,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-64.7500016234501,54.9999964373566,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-64.5000148098493,54.9999982132818,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-64.2500124643556,54.9999957028493,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-64.000005957008,54.9999981561576,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.7500072971478,54.9999884465759,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.5539211465998,55.0000468250326,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.553095230023,54.9986441836217,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.5512396808535,54.996911432582,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.551566897342,54.99576299319,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.5538528015066,54.9940676067717,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.5534766114262,54.9919582004979,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.5545942885886,54.990389254099,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
-63.5571232908628,54.9885128608431,0.502880816649,8.82743384756,5,4,50 02 0100 000,Région administrative,09,Côte-Nord,BDGA5M,V2017-06
