x,y,z,anatomy
0.02562189,-0.3008219,-0.02959261,Head
5.29876E-30,-0.2979302,-0.03489242,Head
1.577809E-12,-0.2955759,-0.02887413,Head
0.02525196,-0.3087409,-0.02892381,Head
0.04780867,-0.3204413,-0.03038716,Head
5.340974E-30,-0.3037982,-0.02835938,Head
0.06497487,-0.3357711,-0.03251949,Head
0.07581046,-0.3533708,-0.03515072,Head
0.0807968,-0.3879664,-0.04731309,Head
0.07303849,-0.4037308,-0.06675616,Head
0.07924682,-0.3838508,-0.05277532,Head
0.07395113,-0.4080479,-0.06023265,Head
0.06457305,-0.4289438,-0.08214857,Head
0.06422676,-0.4248163,-0.08928911,Head
0.08094536,-0.3655438,-0.04494783,Head
0.08306919,-0.3687028,-0.04055423,Head
0.07937537,-0.3718804,-0.03811076,Head
0.0770195,-0.391513,-0.04440831,Head
0.07009274,-0.4124818,-0.05705205,Head
0.06075334,-0.4340943,-0.07881287,Head
0.04497495,-0.4724979,-0.1562681,Head
0.03628172,-0.4906695,-0.2030928,Head
0.04518031,-0.4688938,-0.1623326,Head
0.03602043,-0.4938144,-0.1980551,Head
0.02847259,-0.5139296,-0.2360491,Head
0.02869031,-0.5114591,-0.2401784,Head
0.05471801,-0.44674,-0.122773,Head
0.0547034,-0.4506507,-0.1158965,Head
0.05115955,-0.4556581,-0.1124617,Head
0.04186798,-0.4767571,-0.1527723,Head
0.03343524,-0.496975,-0.1945186,Head
0.02641793,-0.5158955,-0.2324745,Head
0.01895852,-0.5480114,-0.2861341,Head
0.01594717,-0.5600622,-0.3026606,Head
0.01897814,-0.5472055,-0.2893314,Head
0.01591885,-0.5609143,-0.3004255,Head
0.01322676,-0.5708284,-0.309521,Head
0.01332183,-0.5695563,-0.3108655,Head
0.02307416,-0.5306545,-0.2687143,Head
0.02296419,-0.5321726,-0.2650421,Head
0.02137267,-0.5331025,-0.2614138,Head
0.01778226,-0.5480222,-0.2824053,Head
0.01512948,-0.5600809,-0.2965182,Head
0.01277461,-0.5692395,-0.3053059,Head
0.007044409,-0.5820235,-0.3178171,Head
0.003605156,-0.5816249,-0.3136652,Head
0.003582758,-0.5842881,-0.3187749,Head
0.007025924,-0.5793747,-0.3127232,Head
7.344763E-30,-0.5823334,-0.3137714,Head
4.241195E-16,-0.5849059,-0.3187954,Head
0.003718375,-0.5817357,-0.319671,Head
0.007258652,-0.5799226,-0.3188818,Head
7.343226E-30,-0.5821199,-0.3195699,Head
0.01044273,-0.5760196,-0.3161096,Head
0.01026385,-0.5777009,-0.3150253,Head
0.01007791,-0.5754585,-0.3103222,Head
0.2017729,-0.03263848,-0.1888655,Body
0.2245052,0.007307421,-0.2087084,Body
0.1975686,-0.003893577,-0.1920497,Body
0.2294072,-0.02104918,-0.2067508,Body
0.2585806,-0.008897336,-0.2247032,Right pectoral fin
0.2528108,0.01893661,-0.2257222,Right pectoral fin
0.2441912,0.04766113,-0.2276045,Right pectoral fin
0.217023,0.03664823,-0.2117882,Body
0.1912942,0.02574351,-0.1968201,Body
0.1744665,-0.01210946,-0.1765825,Body
0.1787764,-0.04150736,-0.1719912,Body
0.1686764,0.01757703,-0.1834201,Body
0.1502448,0.01437182,-0.1729256,Body
0.1596477,-0.01568736,-0.1636774,Body
0.1640123,-0.04605321,-0.1574734,Body
0.1804466,-0.0684185,-0.1703457,Body
0.2038112,-0.05852609,-0.1879993,Body
0.1652528,-0.07471994,-0.1548179,Body
0.1641189,-0.09878225,-0.1555541,Body
0.1800687,-0.09046568,-0.1715872,Body
0.2040214,-0.07937843,-0.1895648,Body
0.2320438,-0.04640362,-0.2065304,Body
0.2327268,-0.06660347,-0.2083196,Body
