ID,CodeTourbiere,Ordre,Site,Traitement,DemiParcelle,SousTraitement,Latitude_m.x,Longitude_m.x,Rendement_g_5m2,TotalRamet_nombre_m2,TotalVegetatif_nombre_m2,TotalFloral_nombre_m2,TotalMale_nombre_m2,TotalFemelle_nombre_m2,FemelleFruit_nombre_m2,FemelleAvorte_nombre_m2,SterileFleur_nombre_m2,C_pourc,N_pourc,P_pourc,K_pourc,Ca_pourc,Mg_pourc,S_pourc,B_pourc,Cu_pourc,Zn_pourc,Mn_pourc,Fe_pourc,Al_pourc,Station,Longitude_m.y,Latitude_m.y,t_moy_C,prec_tot_mm
72,1,2,4,temoin,left,B,5702129,486488,54.0670947368,398,357.6,40.4,0,40.4,36,4.4,0,50.96,2.769,0.2064365363,1.1790870115,0.1940698421,0.3884986262,0.1382,0.0035030881,3.7e-5,0.0054314034,0.0142666837,0.0108460857,0.0013229884,B,484870,5701870,18.2,714
73,1,2,4,temoin,right,Control,5702129,486488,62.3200336842,450,404.8,45.2,1.2,44,42,2,0,51.61,2.252,0.1684976158,0.7524137887,0.2825034687,0.5182242984,0.09399,0.0035030881,3.7e-5,0.0060904254,0.0121656271,0.0211624777,0.0024929571,B,484870,5701870,18.2,714
74,1,3,5,fertilisant,left,Cu,5702106,486458,6.064,514.4,428.8,85.6,73.2,12.4,8.8,3.6,0,51.88,2.366,0.1524109882,0.6674524722,0.4229556216,0.4788079208,0.1395,0.0035030881,3.7e-5,0.0049013559,0.0092417467,0.014435678,0.001912787,B,484870,5701870,18.2,714
75,1,3,5,fertilisant,right,Control,5702106,486458,1.316,574,530.4,43.6,37.6,6,3.6,2.4,0,52.05,2.548,0.1323822306,0.6843966741,0.3328000198,0.4943020411,0.1449,0.0035030881,3.7e-5,0.0072141141,0.0085516798,0.017692814,0.0023297542,B,484870,5701870,18.2,714
76,1,3,6,temoin,left,B,5702112,486465,3.982,394.8,349.2,45.6,36.8,8.8,6.4,2.4,0,51.48,2.133,0.1403736419,0.6834669082,0.3009064753,0.451657841,0.1293,0.0035030881,3.7e-5,0.005344809,0.0075572276,0.0187019853,0.0026544478,B,484870,5701870,18.2,714
77,1,3,6,temoin,right,Control,5702112,486465,2.914,233.6,200.8,32.8,25.6,7.2,6,1.2,0,50.96,2.151,0.1382066672,0.7660297159,0.2752643706,0.4482533522,0.1339,0.0035030881,3.7e-5,0.0046950304,0.007480647,0.0145684508,0.0017550753,B,484870,5701870,18.2,714
78,1,4,7,fertilisant,left,B,5702076,486499,28.7092631579,377.6,301.6,76,49.6,26.4,22.8,2.4,1.2,49.78,2.309,0.1555248721,0.8325102703,0.2625890982,0.5119562446,0.1284,0.0035030881,3.7e-5,0.0070327897,0.0270940493,0.0170993933,0.0019891954,B,484870,5701870,18.2,714
79,1,4,7,fertilisant,right,Control,5702076,486499,34.6400631579,554.8,462.4,92.4,63.2,29.2,27.2,2,0,49.44,2.117,0.1389777086,0.8193740438,0.2839735011,0.4639056532,0.1001,0.0035030881,3.7e-5,0.0064649109,0.0383196957,0.0163267636,0.0019238958,B,484870,5701870,18.2,714
80,1,4,8,temoin,left,Control,5702081,486504,21.1099284211,327.6,240.4,87.2,58.8,28.4,26,2.4,0,49.81,2.22,0.1497179088,0.9275278775,0.2915657482,0.45081699669999997,0.09706,0.0035030881,2.29683e-4,0.0054051634,0.023803596,0.0122898033,0.0014159858,B,484870,5701870,18.2,714
81,1,4,8,temoin,right,Cu,5702081,486504,23.0576757895,354.4,286.4,68,34.4,33.6,30,3.6,0,49.19,2.062,0.1405415576,0.7131451472,0.319069903,0.5051592602,0.1011,0.0035030881,0.0011217835,0.0073304488,0.0246313677,0.0212983172,0.0019541112,B,484870,5701870,18.2,714
82,1,5,9,fertilisant,left,Cu,5702162,486505,12.4402526316,520,474.4,45.6,31.6,14,13.2,0.8,0,49.28,1.95,0.1413359316,0.9365316864,0.216790073,0.4535083793,0.1625,0.0035030881,3.7e-5,0.004621892,0.0605744869,0.0204784024,0.0023375488,B,484870,5701870,18.2,714
83,1,5,9,fertilisant,right,Control,5702162,486505,13.8005726316,328,212.4,115.6,103.6,12,10.8,1.2,0,49.23,1.822,0.1317656145,1.0443618438,0.241074193,0.4996449264,0.2177,0.0035030881,3.7e-5,0.0047618364,0.0621902071,0.0230848492,0.001992931,B,484870,5701870,18.2,714
84,1,5,10,temoin,left,B,5702160,486514,5.188,243.6,NA,NA,NA,NA,NA,NA,NA,48.96,2.154,0.1606188262,1.323548484,0.316610867,0.4523703562,0.199,0.0035030881,2.49149e-4,0.0042669299,0.0418269162,0.0145464442,0.0013780635,B,484870,5701870,18.2,714
85,1,5,10,temoin,right,Control,5702160,486514,6.5008,361.6,NA,NA,NA,NA,NA,NA,NA,49.12,1.983,0.1410045687,1.1616835429,0.3465707517,0.4565271624,0.1919,0.0035030881,1.038792e-4,0.0055066535,0.0527845836,0.0172241398,0.0012144548,B,484870,5701870,18.2,714
86,WTP,E,1,NA,NA,NA,5700788,487075,NA,224.0896358543,196.0784313725,28.0112044818,14.0056022409,14.0056022409,12.7323656735,1.2732365674,0,48.21,1.983,0.0892145855,0.6481644462,0.4958798902,0.6112367652,0.1838,0.0032805291,1.967237e-4,0.0112509103,0.0539495887,0.01790798,0.0034326114,B,484870,5701870,18.2,714
87,WTP,E,2,NA,NA,NA,5700776,487064,NA,170.6137000255,118.4110007639,52.2026992615,42.0168067227,10.1858925388,10.1858925388,0,0,47.96,1.719,0.0759938153,0.5568934646,0.4557359645,0.7582657119,0.1232,0.0032805291,1.934689e-4,0.0138334151,0.0291447168,0.0212844396,0.0034353323,B,484870,5701870,18.2,714
88,WTP,E,3,NA,NA,NA,5700775,487060,NA,154.0616246499,113.3180544945,40.7435701553,31.8309141839,8.9126559715,8.9126559715,0,0,47.29,1.626,0.0755592931,0.5070169445,0.5213333538,0.8615272743,0.1303,0.0032805291,3.411405e-4,0.0162397733,0.0512616523,0.0179942295,0.0044839623,B,484870,5701870,18.2,714
89,WTP,E,4,NA,NA,NA,5700770,487058,NA,243.1881843647,145.1489686784,98.0392156863,80.2139037433,17.825311943,14.0056022409,2.5464731347,0,47.78,1.798,0.0799258718,0.4647199775,0.460064849,0.7057982681,0.1248,0.0032805291,3.410955e-4,0.0103843389,0.0432637085,0.0166627828,0.003305582,B,484870,5701870,18.2,714
90,WTP,E,5,NA,NA,NA,5700750,487053,NA,252.1008403361,220.2699261523,31.8309141839,14.0056022409,16.5520753756,16.5520753756,0,1.2732365674,47.74,1.806,0.0848354981,0.7131133592,0.5171256443,0.5645158372,0.1149,0.0032805291,1.698234e-4,0.0102133061,0.0201529046,0.0160243247,0.0026369616,B,484870,5701870,18.2,714
