ID,CodeTourbiere,Ordre,Site,Traitement,DemiParcelle,SousTraitement,Latitude_m.x,Longitude_m.x,Rendement_g_5m2,TotalRamet_nombre_m2,TotalVegetatif_nombre_m2,TotalFloral_nombre_m2,TotalMale_nombre_m2,TotalFemelle_nombre_m2,FemelleFruit_nombre_m2,FemelleAvorte_nombre_m2,SterileFleur_nombre_m2,C_pourc,N_pourc,P_pourc,K_pourc,Ca_pourc,Mg_pourc,S_pourc,B_pourc,Cu_pourc,Zn_pourc,Mn_pourc,Fe_pourc,Al_pourc,Station,Longitude_m.y,Latitude_m.y,t_moy_C,prec_tot_mm
18,2,7,14,temoin,right,Control,5702627,486501,0.38,78.4,66.8,11.6,2.8,8.8,0.4,8.4,0,49.66,2.969,0.16561994829999999,1.206091114,0.3115278405,0.4696073994,0.1571,0.00416382,6.86e-4,0.0114809328,0.0543410557,0.0173704595,0.0037593599,B,484870,5701870,18.2,714
19,2,8,15,fertilisant,left,B,5702537,486517,0,272.8,209.6,63.2,30.8,32.4,0.8,28.8,2.8,49.37,2.624,0.2130140699,1.2066296492,0.3600072568,0.4682160501,0.1311,0.0039342,8.11e-4,0.0061689793,0.0089947474,0.0099347159,0.0025217006,B,484870,5701870,18.2,714
20,2,8,15,fertilisant,right,Control,5702537,486517,0.574,208.8,163.6,45.2,13.2,32,0.4,30.4,1.2,46.72,2.795,0.2244189658,1.2002924994,0.3228983073,0.4634891637,0.1325,0.00332109,9.63e-4,0.0068037821,0.0114162693,0.009983995,0.0021071254,B,484870,5701870,18.2,714
21,2,8,16,temoin,left,Control,5702537,486524,0,219.2,201.6,17.6,4.4,13.2,0.4,12.8,0,49.41,2.772,0.233370693,1.1654441863,0.4441186453,0.5155559046,0.1225,0.00416382,6.82e-4,0.0073388118,0.0140875213,0.0099227314,0.0025398682,B,484870,5701870,18.2,714
22,2,8,16,temoin,right,Cu,5702537,486524,0,177.6,160.8,16.8,3.6,13.2,0.4,12.8,0,49.32,2.92,0.2262651637,1.2228929142,0.3201984221,0.4493769707,0.1296,0.00416746,8.69e-4,0.006610468,0.0104403204,0.0093378645,0.0019993009,B,484870,5701870,18.2,714
23,2,9,17,fertilisant,left,Control,5702544,486327,0,65.6,59.6,6,0.4,5.6,NA,5.6,0,49.07,2.862,0.2019247043,1.1774408878,0.3653866485,0.4598378959,0.1336,0.00416382,3.92e-4,0.0070181929,0.0080539737,0.0106456983,0.0020388508,B,484870,5701870,18.2,714
24,2,9,17,fertilisant,right,Cu,5702544,486327,0,84.8,72.8,12,0.8,11.2,NA,11.2,0,48.7,2.723,0.1814049894,1.1353599694,0.481876203,0.4735614787,0.1312,0.00416746,2.93e-4,0.008305379,0.0187965924,0.0091907588,0.0026047181,B,484870,5701870,18.2,714
25,2,9,18,temoin,left,Control,5702540,486315,0,92.8,81.2,11.6,0,11.6,NA,11.2,0.4,48.49,2.647,0.1721720058,1.2427743044,0.3205876999,0.4212566523,0.128,0.00332109,5.73e-4,0.0052014032,0.0048140077,0.0097903439,0.0018164899,B,484870,5701870,18.2,714
26,2,9,18,temoin,right,B,5702540,486315,0,72,67.2,4.8,0.4,4.4,NA,3.6,0.8,48.84,2.587,0.1578009827,1.3406919687,0.3593370283,0.4305425733,0.1186,0.0039342,5.79e-4,0.006692458,0.004453329,0.0107317014,0.0020736813,B,484870,5701870,18.2,714
27,2,10,19,fertilisant,left,Control,5702478,486353,0,208.8,131.6,77.2,2.4,74.8,NA,74.8,0,47.11,2.839,0.1725457575,1.2695898672000001,0.368931991,0.4809655583,0.1515,0.00332109,4.69e-4,0.0064560405,0.0177355715,0.0103572173,0.0019242103,B,484870,5701870,18.2,714
28,2,10,19,fertilisant,right,B,5702478,486353,0,200.8,124,76.8,0,76.8,NA,76.8,0,49.22,2.698,0.1900911672,1.1748637357,0.3722275209,0.5197966956,0.142,0.0039342,3.46e-4,0.0054954467,0.0108955034,0.0100146789,0.0021134684,B,484870,5701870,18.2,714
