station_id,station_name,prov,lat,lon,degree_days,cumul_precip,sdi
5627,STE ANNE DU LAC,QC,46.85,-75.33,NA,49.6,0.34743679396150523
5630,ST HIPPOLYTE,QC,45.98,-74,NA,28.5,0.46023320650549865
5631,ST JEROME,QC,45.8,-74.05,NA,55.6,0.48183485360005274
5642,WRIGHT,QC,46.07,-76.05,NA,58.4,0.6511786753304328
5674,CHATEAU RICHER,QC,46.97,-71.03,NA,45,0.4199843609117309
5701,LES BUISSONS,QC,49.12,-68.38,NA,51,0.43397156413018606
5779,CAP DES ROSIERS,QC,48.85,-64.2,NA,40,0.5177349120044477
5785,CAUSAPSCAL,QC,48.37,-67.23,NA,75.6,0.682736599251029
5803,LAC HUMQUI,QC,48.28,-67.57,NA,79,0.6354892139910413
5846,ST CAMILLE,QC,46.48,-70.22,NA,55.8,0.4396540853140928
5857,ST JEAN DE CHERBOURG,QC,48.88,-67.12,NA,43.1,0.5705348656811343
5858,STE LUCIE,QC,46.73,-70.02,NA,36.2,0.5106909472589028
5861,SAINT MICHEL,QC,46.87,-70.88,NA,43.800000000000004,0.45519576178195836
5889,BAGOTVILLE A,QC,48.33,-71,501.6,165,0.8432318468988577
5903,CHUTE-DES-PASSES,QC,49.84,-71.17,259.6,NA,NA
5911,JONQUIERE,QC,48.43,-71.14,467,140,0.772793498731527
5936,ST AMBROISE,QC,48.57,-71.33,NA,58.2,0.5752424506685214
5940,ST PRIME,QC,48.62,-72.42,NA,53.699999999999996,0.5475005735122035
5966,PARENT,QC,47.92,-74.62,487.2,135,0.7518977905904359
5969,ST MICHEL DES SAINTS,QC,46.68,-73.92,NA,49.8,0.4485541735114611
5977,BARRAGE TEMISCAMINGUE,QC,46.71,-79.1,683.8,148.4,0.710313716517962
5988,MONT BRUN,QC,48.42,-78.73,NA,55.8,0.4301201977505703
6005,LAC BERRY,QC,48.8,-78.28,NA,30.4,0.4722789436216396
6081,VAL-D'OR A,QC,48.06,-77.79,NA,NA,NA
6109,AROOSTOOK,NB,46.71,-67.72,318.8,67,0.6056613923898153
6113,BAS CARAQUET,NB,47.8,-64.87,NA,59.6,0.5441054986007803
6194,MACTAQUAC PROV PARK,NB,45.95,-66.9,222.1,26.9,0.44042401044290913
6205,MISCOU ISLAND (AUT),NB,48.01,-64.49,390,84.8,0.8086950722181953
6286,WOODSTOCK,NB,46.17,-67.55,349.5,80,0.6054576568032154
6497,WATERVILLE CAMBRIDGE,NS,45.05,-64.65,352,75.89999999999999,0.5909120972316412
6507,WHITE ROCK,NS,45.05,-64.38,NA,65.2,0.5117311375741691
6537,NEW GLASGOW,PE,46.41,-63.35,262.4,83,0.727435634967602
6545,STANHOPE,PE,46.42,-63.08,293,38.4,0.571142441518358
6900,PETAWAWA HOFFMAN,ON,45.88,-77.25,434.3,70.8,0.5604717122494607
6901,APPLETON,ON,45.19,-76.11,453.8,35.800000000000004,0.5359289673564619
6915,BAS CARAQUET,NB,47.8,-64.83,459.4,127.8,0.8335718664074695
6918,BOUCTOUCHE CDA CS,NB,46.43,-64.77,529,188.2,1.053983526512027
6919,FUNDY PARK (ALMA) CS,NB,45.6,-64.95,537.8,185.6,0.8556830009456994
6927,TATAMAGOUCHE,NS,45.68,-63.23,302.7,66.2,0.7057681237988054
7173,HART ISLAND (AUT),NS,45.35,-60.98,462.6,NA,NA
7177,EAST POINT (AUT),PE,46.46,-61.99,415.6,151,0.8774896643512998
8321,TROIS-RIVIERES,QC,46.37,-72.68,724.6,96.4,0.793392370615941
8536,PORT-MENIER,QC,49.84,-64.29,117.39999999999999,121.8,0.8263497901158321
8539,RIVIERE-DU-LOUP,QC,47.81,-69.55,493.6,104.8,0.8960881163229026
8674,ILE ROUGE,QC,48.07,-69.56,357,88.4,0.8173297529743587
8675,HEATH POINT,QC,49.09,-61.7,67.6,NA,NA
8989,ILE D'ORLEANS,QC,47,-70.81,NA,NA,NA
8990,CARIBOU POINT (AUT),NS,45.77,-62.68,573,151.2,0.9448180671647641
8999,CAP-MADELEINE,QC,49.25,-65.32,319.4,67.2,0.946951238578483
9001,CAP-D'ESPOIR,QC,48.42,-64.32,239.6,94.4,0.7712615453072833
9029,POINTE-DES-MONTS,QC,49.32,-67.38,196,104,0.7576492608285237
9033,ST PAUL ISLAND (AUT),NS,47.23,-60.14,198,NA,NA
