,x,y,z,anatomy
152,0.08306919,-0.3687028,-0.04055423,Head
153,0.07937537,-0.3718804,-0.03811076,Head
154,0.0770195,-0.391513,-0.04440831,Head
155,0.07009274,-0.4124818,-0.05705205,Head
156,0.06075334,-0.4340943,-0.07881287,Head
157,0.04497495,-0.4724979,-0.1562681,Head
158,0.03628172,-0.4906695,-0.2030928,Head
159,0.04518031,-0.4688938,-0.1623326,Head
160,0.03602043,-0.4938144,-0.1980551,Head
161,0.02847259,-0.5139296,-0.2360491,Head
162,0.02869031,-0.5114590999999999,-0.2401784,Head
163,0.05471801,-0.44674,-0.122773,Head
164,0.0547034,-0.4506507000000001,-0.1158965,Head
165,0.05115955,-0.4556581,-0.1124617,Head
166,0.04186798,-0.4767571,-0.1527723,Head
167,0.03343524,-0.496975,-0.1945186,Head
168,0.02641793,-0.5158955,-0.2324745,Head
169,0.01895852,-0.5480114,-0.2861341,Head
170,0.01594717,-0.5600622,-0.3026606,Head
171,0.01897814,-0.5472055,-0.2893314,Head
172,0.01591885,-0.5609143,-0.3004255,Head
173,0.01322676,-0.5708284,-0.309521,Head
174,0.01332183,-0.5695563,-0.3108655,Head
175,0.02307416,-0.5306545,-0.2687143,Head
176,0.02296419,-0.5321726,-0.2650421,Head
177,0.02137267,-0.5331024999999999,-0.2614138,Head
178,0.01778226,-0.5480222,-0.2824053,Head
179,0.01512948,-0.5600809,-0.2965182,Head
180,0.01277461,-0.5692395,-0.3053059,Head
181,0.0070444090000000015,-0.5820234999999999,-0.3178171,Head
182,0.003605156,-0.5816249,-0.3136652,Head
183,0.003582758,-0.5842881,-0.3187749,Head
184,0.007025924,-0.5793746999999999,-0.3127232,Head
185,7.344763e-30,-0.5823334,-0.31377140000000003,Head
186,4.2411949999999987e-16,-0.5849059,-0.3187954,Head
187,0.003718375,-0.5817357,-0.319671,Head
188,0.007258651999999998,-0.5799226,-0.3188818,Head
189,7.343226e-30,-0.5821199,-0.3195699,Head
190,0.01044273,-0.5760196,-0.31610959999999994,Head
191,0.01026385,-0.5777009,-0.31502529999999995,Head
192,0.01007791,-0.5754585,-0.31032220000000005,Head
193,0.2017729,-0.03263848,-0.1888655,Body
194,0.2245052,0.007307421,-0.2087084,Body
195,0.1975686,-0.003893577,-0.1920497,Body
196,0.2294072,-0.02104918,-0.2067508,Body
197,0.2585806,-0.008897336,-0.2247032,Right pectoral fin
198,0.25281079999999995,0.01893661,-0.2257222,Right pectoral fin
199,0.2441912,0.04766113,-0.2276045,Right pectoral fin
200,0.217023,0.03664823,-0.2117882,Body
201,0.1912942,0.02574351,-0.1968201,Body
202,0.1744665,-0.01210946,-0.1765825,Body
203,0.1787764,-0.04150736,-0.1719912,Body
204,0.16867639999999998,0.01757703,-0.1834201,Body
205,0.15024479999999998,0.01437182,-0.1729256,Body
206,0.1596477,-0.01568736,-0.1636774,Body
207,0.16401229999999994,-0.04605321,-0.1574734,Body
208,0.1804466,-0.0684185,-0.17034570000000002,Body
209,0.2038112,-0.05852609,-0.1879993,Body
210,0.16525279999999998,-0.07471994,-0.15481789999999998,Body
211,0.16411889999999998,-0.09878225,-0.15555410000000006,Body
212,0.18006870000000005,-0.09046568,-0.1715872,Body
213,0.2040214,-0.07937843,-0.1895648,Body
214,0.2320438,-0.04640362,-0.2065304,Body
215,0.2327268,-0.06660347,-0.2083196,Body
216,0.26293690000000003,-0.05337226,-0.2269446,Right pectoral fin
217,0.2618424,-0.03371880000000001,-0.2249913,Right pectoral fin
218,0.4339626,0.2257638,-0.4017778,Right pectoral fin
219,0.4476683,0.233186,-0.4092153,Right pectoral fin
220,0.4455526,0.233364,-0.4113011,Right pectoral fin
221,0.4367293,0.225565,-0.3995546,Right pectoral fin
222,0.4408392,0.2233305,-0.3983518,Right pectoral fin
223,0.4511217000000001,0.2318816,-0.4083529,Right pectoral fin
224,0.4573491,0.2368487,-0.4149126,Right pectoral fin
225,0.4570051,0.2390555,-0.4173665,Right pectoral fin
226,0.4556423,0.2394828,-0.4196521,Right pectoral fin
227,0.4438773,0.2314922,-0.4132426,Right pectoral fin
228,0.4325436,0.2238218,-0.4044059,Right pectoral fin
229,0.453443,0.2373996,-0.4208289000000001,Right pectoral fin
230,0.4513191,0.2340996,-0.4208593,Right pectoral fin
231,0.4440913,0.2287846,-0.4157495,Right pectoral fin
232,0.4330632,0.2201685,-0.4073428,Right pectoral fin
233,0.4187698,0.21473000000000006,-0.3936523,Right pectoral fin
234,0.4201566,0.2169475,-0.3907132,Right pectoral fin
235,0.4192318,0.2098016,-0.3965311,Right pectoral fin
236,0.4026477000000001,0.1986129,-0.3837392,Right pectoral fin
237,0.4023509,0.2048524,-0.3811003,Right pectoral fin
238,0.4037889,0.20742600000000005,-0.3780383,Right pectoral fin
239,0.4230918,0.2163073,-0.3880887,Right pectoral fin
240,0.4066712,0.206215,-0.3749361,Right pectoral fin
241,0.4107077,0.2011006,-0.3721768,Right pectoral fin
242,0.4272747,0.2126627,-0.386154,Right pectoral fin
243,0.3160508,-0.04353205,-0.27000290000000005,Right pectoral fin
244,0.2909432,-0.05262949,-0.2483863,Right pectoral fin
245,0.2888718,-0.05717345,-0.25337,Right pectoral fin
246,0.3179539,-0.03923557,-0.265327,Right pectoral fin
247,0.3181413,-0.02817572,-0.261606,Right pectoral fin
248,0.2914035,-0.04091629,-0.2445327,Right pectoral fin
249,0.2622048,-0.06570221,-0.2309211,Right pectoral fin
250,0.2600107,-0.07053185,-0.2362201,Right pectoral fin
251,0.28553690000000004,-0.05444269,-0.2588585,Right pectoral fin
252,0.3127548,-0.04096404,-0.275085,Right pectoral fin
253,0.2567189,-0.06768437,-0.2421408,Right pectoral fin
254,0.2526936,-0.05711577,-0.2479569,Right pectoral fin
255,0.2812862,-0.04433173,-0.2642268,Right pectoral fin
256,0.3083887,-0.03143039,-0.2800242,Right pectoral fin
257,0.3382818,-0.02610733,-0.2913991,Right pectoral fin
258,0.3414816,-0.02851547,-0.2866851,Right pectoral fin
259,0.33390380000000003,-0.01715737,-0.29593420000000004,Right pectoral fin
260,0.3577318,-0.0008641791,-0.31232350000000003,Right pectoral fin
261,0.3620242,-0.009211,-0.308168,Right pectoral fin
262,0.3650958,-0.01145118,-0.303785,Right pectoral fin
263,0.3432079,-0.024477900000000004,-0.2822838,Right pectoral fin
264,0.3666745,-0.0076785959999999985,-0.2996285,Right pectoral fin
265,0.3664885,0.002012848,-0.29615240000000004,Right pectoral fin
266,0.3431653,-0.01409072,-0.2786866,Right pectoral fin
267,0.1847785,-0.0423601,-0.2243908,Body
268,0.2085987,-0.0006090617,-0.2440357,Body
269,0.2143125,-0.02827525,-0.2404068,Body
270,0.1803207,-0.01416221,-0.22874610000000006,Body
271,0.1748303,0.01552841,-0.2323963,Body
272,0.2012035,0.02860376,-0.24659210000000004,Body
273,0.2278784,0.04125715,-0.2613216,Body
274,0.2363937,0.012537200000000002,-0.2598159,Body
275,0.2430329,-0.01484412,-0.2569458,Right pectoral fin
276,0.2188488,-0.05246823,-0.2359594,Body
277,0.1884545,-0.06719437,-0.2192721,Body
278,0.248299,-0.03878206,-0.2529424,Right pectoral fin
279,0.2227083,-0.07103689999999999,-0.2306295,Body
280,0.1920404,-0.08614662,-0.2133077,Body
281,0.15745399999999998,-0.08236130000000001,-0.2042515,Body
282,0.1546753,-0.05546022,-0.2103863,Body
283,0.16140020000000002,-0.1024965,-0.1970546,Body
284,0.1288307,-0.1226254,-0.1830559,Body
285,0.12603920000000002,-0.0953107,-0.1943374,Body
286,0.1241051,-0.06622397,-0.2012259,Body
287,0.1516799,-0.02555125,-0.2150046,Body
288,0.1223688,-0.03454677,-0.2062435,Body
289,0.1216105,0.001367537,-0.2074778,Body
290,0.1488609,0.005074992,-0.2191483,Body
291,0.29721220000000004,0.006949551,-0.2876603,Right pectoral fin
292,0.2764673,-0.02673507,-0.2688498,Right pectoral fin
293,0.27069540000000003,-0.00370516,-0.27251970000000003,Right pectoral fin
294,0.3032749,-0.01482996,-0.2842718,Right pectoral fin
295,0.2635856,0.02270556,-0.2750292,Right pectoral fin
296,0.28999899999999995,0.03202048,-0.2900225,Right pectoral fin
297,0.2547532,0.05044464,-0.2761706,Right pectoral fin
298,0.2814341,0.05849516,-0.291191,Right pectoral fin
299,0.31545850000000003,0.04260644,-0.3051426,Right pectoral fin
300,0.3224959,0.01892794,-0.3028995,Right pectoral fin
301,0.30752729999999995,0.06773761,-0.3064345,Right pectoral fin
302,0.3326391,0.07874665,-0.3220471,Right pectoral fin
303,0.3397869,0.05506676,-0.3206679,Right pectoral fin
304,0.3464562,0.03285288,-0.31858190000000003,Right pectoral fin
305,0.3286431,-0.001569468,-0.2997988,Right pectoral fin
306,0.3524901,0.01368318,-0.3157976,Right pectoral fin
307,0.3123052,0.01205781,-0.2584732,Right pectoral fin
308,0.2899049,-0.02213934,-0.2424343,Right pectoral fin
309,0.31629050000000003,-0.01045363,-0.2593891,Right pectoral fin
310,0.2861946,0.001659167,-0.2417791,Right pectoral fin
311,0.3410583,0.00254995,-0.27638509999999994,Right pectoral fin
312,0.3369688,0.02373609,-0.2752805,Right pectoral fin
313,0.3642659,0.01752927,-0.2938105,Right pectoral fin
314,0.3602399000000001,0.03732442,-0.2925831,Right pectoral fin
315,0.3309785,0.04775967,-0.2752743,Right pectoral fin
316,0.3060896,0.03748576,-0.2586556,Right pectoral fin
317,0.35464320000000005,0.05985204,-0.2924505,Right pectoral fin
318,0.34770890000000004,0.08356588,-0.2933928,Right pectoral fin
319,0.323169,0.07291267,-0.2762678,Right pectoral fin
320,0.2975475,0.06395735,-0.2597335,Right pectoral fin
321,0.2800196,0.02843706,-0.2422548,Right pectoral fin
322,0.27112709999999995,0.05615217,-0.2435493,Right pectoral fin
323,0.4406753,0.2086248,-0.4133791,Right pectoral fin
324,0.4476438,0.2264552,-0.4195316,Right pectoral fin
325,0.4529594,0.2231486,-0.4235135,Right pectoral fin
326,0.4361127,0.2152334,-0.4104924,Right pectoral fin
327,0.456292,0.2353273,-0.4255064,Right pectoral fin
328,0.4625816,0.2348538,-0.4305686,Right pectoral fin
329,0.4584631,0.217509,-0.4266199000000001,Right pectoral fin
330,0.4457346,0.1999511,-0.415527,Right pectoral fin
331,0.46861,0.2317141,-0.4345397,Right pectoral fin
332,0.4734692,0.2251959,-0.4367714,Right pectoral fin
333,0.4632158,0.2090278,-0.4283139,Right pectoral fin
334,0.4504329000000001,0.1890323,-0.4165952,Right pectoral fin
335,0.4306277,0.1807121,-0.402086,Right pectoral fin
336,0.4258823000000001,0.1925225,-0.4008653,Right pectoral fin
337,0.4353577,0.16714820000000002,-0.4025194,Right pectoral fin
338,0.4182278,0.1453141,-0.3869905,Right pectoral fin
339,0.4133457,0.1614642,-0.387122,Right pectoral fin
340,0.4087311,0.176206,-0.3866744,Right pectoral fin
341,0.4218431,0.202309,-0.3989746,Right pectoral fin
342,0.4049698,0.1888265,-0.385572,Right pectoral fin
343,0.4732045,0.2458359,-0.4335886,Right pectoral fin
344,0.4807533,0.2431131,-0.4346282,Right pectoral fin
345,0.4801521,0.2447827,-0.438464,Right pectoral fin
346,0.473854,0.244607,-0.4300497,Right pectoral fin
347,0.470778,0.2385706,-0.4232003,Right pectoral fin
348,0.4773784,0.2356185,-0.4270334,Right pectoral fin
349,0.4825681,0.2293392,-0.4294528,Right pectoral fin
350,0.4859296,0.2379563,-0.4373535,Right pectoral fin
351,0.4852505999999999,0.2399469,-0.4412405,Right pectoral fin
352,0.475972,0.2408942,-0.4384611,Right pectoral fin
353,0.4693885,0.2425006,-0.4338442,Right pectoral fin
354,0.4809556,0.2355978,-0.4410634,Right pectoral fin
355,0.4619128,0.2412024,-0.4278315,Right pectoral fin
356,0.464947,0.2438547,-0.4271996,Right pectoral fin
357,0.4658358,0.2430584,-0.4243036,Right pectoral fin
358,0.4634872,0.238627,-0.418734,Right pectoral fin
359,0.2420575,0.1590904,-0.2774128,Right pectoral fin
360,0.27886750000000005,0.1623238,-0.2914272,Right pectoral fin
361,0.2753816,0.1646803,-0.2952623,Right pectoral fin
362,0.2458328,0.156631,-0.2736679,Right pectoral fin
363,0.2528207,0.14792850000000002,-0.2700489,Right pectoral fin
364,0.2849609,0.15390120000000002,-0.28759,Right pectoral fin
365,0.3161765,0.1609786,-0.3055133,Right pectoral fin
366,0.31097,0.1690499,-0.3095314,Right pectoral fin
367,0.3077643,0.1712845,-0.3134389,Right pectoral fin
368,0.2746866,0.1610183,-0.2988566,Right pectoral fin
369,0.241663,0.15534189999999998,-0.2810858,Right pectoral fin
370,0.3067645,0.1677425,-0.3169501,Right pectoral fin
371,0.3081759,0.15848389999999998,-0.3197792,Right pectoral fin
372,0.27696620000000005,0.15138529999999994,-0.3019716,Right pectoral fin
373,0.24481770000000005,0.1454207,-0.2844889,Right pectoral fin
374,0.2101614,0.1503491,-0.26449670000000003,Body
375,0.2103489,0.15416770000000002,-0.2607388,Body
376,0.2139398,0.1401953,-0.26810690000000004,Body
377,0.1865508,0.1339398,-0.2541001,Body
378,0.1826597,0.1443721,-0.2504763,Body
379,0.1828234,0.1483023,-0.2466277,Body
380,0.214339,0.15162620000000002,-0.2570104,Body
381,0.1868691,0.1457454,-0.242731,Body
382,0.1946239,0.136656,-0.2389914,Body
383,0.2219681,0.1426994,-0.2534887,Body
384,0.4523085,0.2129058,-0.4001143,Right pectoral fin
385,0.4568098,0.2303739,-0.4100814,Right pectoral fin
386,0.4462877000000001,0.2191651,-0.398785,Right pectoral fin
387,0.4634178,0.2274839,-0.4130129,Right pectoral fin
388,0.4324048,0.2058669,-0.3852839,Right pectoral fin
389,0.4379851,0.1963956,-0.3851311,Right pectoral fin
390,0.4156079000000001,0.191964,-0.3701435,Right pectoral fin
391,0.4209734000000001,0.1796672,-0.3687217,Right pectoral fin
392,0.4435185,0.1847246,-0.3853479,Right pectoral fin
393,0.4581353,0.2043895,-0.4015999,Right pectoral fin
394,0.4264059,0.1650723,-0.3677972000000001,Right pectoral fin
395,0.4315073,0.1490415,-0.3672555,Right pectoral fin
396,0.448508,0.1713295,-0.3855869,Right pectoral fin
397,0.463154,0.1936953,-0.402666,Right pectoral fin
398,0.4696305,0.2220324,-0.4157595,Right pectoral fin
399,0.4747418,0.2138087,-0.4175891,Right pectoral fin
400,0.1472366,0.1278328,-0.2294161,Body
401,0.16590660000000002,0.1374249,-0.2321061,Body
402,0.16204849999999998,0.1398841,-0.236467,Body
403,0.1508345,0.12572160000000002,-0.224693,Body
404,0.1568894,0.1169984,-0.2195041,Body
405,0.1730089,0.1282404,-0.2276391,Body
406,0.161636,0.1357434,-0.2404111,Body
407,0.1466284,0.1236068,-0.23345900000000006,Body
408,0.1648692,0.124885,-0.2437432,Body
409,0.1489341,0.1127798,-0.2363509,Body
410,0.1371751,0.1071059,-0.2287777,Body
411,0.13760039999999998,0.11106760000000003,-0.2246347,Body
412,0.13878410000000002,0.09737322,-0.2312382,Body
413,0.13426960000000002,0.08566634,-0.2270078,Body
414,0.1318932,0.08864915,-0.224307,Body
415,0.13202750000000002,0.09212433,-0.2196367,Body
416,0.14103629999999998,0.1096927,-0.220049,Body
417,0.13557560000000002,0.09190993,-0.2152765,Body
418,0.1405279,0.09100743,-0.211925,Body
419,0.1460317,0.1024761,-0.2146587,Body
420,0.2001,-0.09895398,-0.1995523,Body
421,0.1782345,-0.10527169999999997,-0.1756569,Body
422,0.1743692,-0.1125733,-0.1817969,Body
423,0.2027411,-0.09301753,-0.1936757,Body
424,0.16136,-0.1153349,-0.1595255,Body
425,0.1557997,-0.1246292,-0.1659372,Body
426,0.16789820000000005,-0.1121077,-0.1892496,Body
427,0.1962277,-0.09669842,-0.2064154,Body
428,0.1462615,-0.1269164,-0.1739947,Body
429,0.2263919,-0.08183011,-0.2243527,Body
430,0.22953360000000006,-0.08469941,-0.2179871,Body
431,0.2317677,-0.07949629,-0.2123907,Body
432,0.17388370000000006,0.08009174,-0.2083757,Body
433,0.1831543,0.1122055,-0.2233763,Body
434,0.1648687,0.1013886,-0.2140635,Body
435,0.1948605,0.09066295,-0.21929570000000004,Body
436,0.2190608,0.1000516,-0.2325893,Body
437,0.2059149,0.1209885,-0.2356142,Body
438,0.1511357,0.08891281,-0.208102,Body
439,0.1565723,0.06965479,-0.2004576,Body
440,0.1410025,0.07876831,-0.2058031,Body
441,0.1431759,0.06145483,-0.19663670000000005,Body
442,0.1625655,0.04535399,-0.1918044,Body
443,0.1830457,0.05430767,-0.202445,Body
444,0.1464496,0.03962587,-0.1861607,Body
445,0.2066458,0.06495529,-0.2153751,Body
446,0.2323804,0.07515434,-0.2299065,Body
447,0.4660527,0.1338356,-0.4051468,Right pectoral fin
448,0.4563408,0.11044669999999998,-0.3884225,Right pectoral fin
449,0.4543752,0.1071885,-0.3909351,Right pectoral fin
450,0.4680575,0.1368196,-0.4030168,Right pectoral fin
451,0.4692972,0.1434974,-0.4016308,Right pectoral fin
452,0.4573062,0.1176745,-0.3865497000000001,Right pectoral fin
453,0.4426629,0.09073081,-0.3694572,Right pectoral fin
454,0.4421616,0.08338181,-0.3719412,Right pectoral fin
455,0.4404443,0.08026572,-0.3749748,Right pectoral fin
456,0.4517503,0.1081538,-0.393748,Right pectoral fin
457,0.4633734000000001,0.1341566,-0.4073845,Right pectoral fin
458,0.4378065,0.0815689,-0.378166,Right pectoral fin
459,0.434544,0.08747771,-0.3811226,Right pectoral fin
460,0.4488068,0.11359669999999998,-0.396522,Right pectoral fin
461,0.4606645,0.138762,-0.4097911,Right pectoral fin
462,0.472397,0.1578211,-0.4184264,Right pectoral fin
463,0.4752114000000001,0.15870810000000002,-0.4171032,Right pectoral fin
464,0.4697506,0.1607584,-0.4200417,Right pectoral fin
465,0.4752319,0.1758411,-0.4261157,Right pectoral fin
466,0.4788191,0.17888020000000002,-0.4271741,Right pectoral fin
467,0.4819318,0.1812289,-0.4267437,Right pectoral fin
468,0.4767461,0.1604214,-0.4149416,Right pectoral fin
469,0.482945,0.1813709,-0.42425,Right pectoral fin
470,0.4821702000000001,0.1799467,-0.4210375,Right pectoral fin
471,0.4777679,0.1654358,-0.4136017,Right pectoral fin
472,0.4689257000000001,0.1673199,-0.4022455,Right pectoral fin
473,0.4780457,0.202602,-0.4177698,Right pectoral fin
474,0.4667504,0.1809023,-0.4027368,Right pectoral fin
475,0.4794953,0.1896588,-0.4166912999999999,Right pectoral fin
476,0.4864458,0.2065628,-0.4279859,Right pectoral fin
477,0.485627,0.2193013,-0.4296781,Right pectoral fin
478,0.4524565,0.1566859,-0.3855005,Right pectoral fin
479,0.4552891,0.142035,-0.3854147,Right pectoral fin
480,0.4358793,0.1324368,-0.3669824,Right pectoral fin
481,0.4393263,0.1164134,-0.3671461,Right pectoral fin
482,0.4569306,0.1286175,-0.3856558,Right pectoral fin
483,0.4696806,0.1542579,-0.4016253,Right pectoral fin
484,0.4416526,0.1021264,-0.3679149,Right pectoral fin
485,0.4790435000000001,0.1762258,-0.4147435,Right pectoral fin
486,0.4849154000000001,0.1921818,-0.4246525,Right pectoral fin
487,0.160854,0.07196446,-0.2372953,Body
488,0.1719483,0.1071912,-0.2462677,Body
489,0.181368,0.08419677,-0.2477167,Body
490,0.1540779,0.09508824,-0.237621,Body
491,0.1946691,0.1169901,-0.2573227,Body
492,0.205364,0.09494118,-0.2598111,Body
493,0.1916231,0.05743667,-0.247822,Body
494,0.1680564,0.044840899999999996,-0.2353999,Body
495,0.2169845,0.06921099,-0.261232,Body
496,0.1466116,0.03412789,-0.2238593,Body
497,0.1443392,0.060087800000000004,-0.228086,Body
498,0.1315753,0.02876247,-0.2132062,Body
